Master_id,temp_acc_year,Accnt year,acc_year/id,date_from,Assess year,assess_year/id,reg_id,name,wakf_id/id,line_1,line_2,line_3
225,,2012-2013,__export__.account_fiscalyear_246,2013-07-11,2013-2014,__export__.account_fiscalyear_247,363,6321,__export__.res_partner_2785,0,0,0
226,,2012-2013,__export__.account_fiscalyear_246,2013-07-20,2013-2014,__export__.account_fiscalyear_247,6808,3643,__export__.res_partner_3538,0,0,0
227,,2010-2011,__export__.account_fiscalyear_244,2012-02-21,2011-2012,__export__.account_fiscalyear_245,6668,4013,__export__.res_partner_5087,0,0,0
228,,2012-2013,__export__.account_fiscalyear_246,2013-07-27,2013-2014,__export__.account_fiscalyear_247,6668,4013,__export__.res_partner_5087,0,0,0
229,1988-1999,1988-1999,,2001-03-31,2000-2001,__export__.account_fiscalyear_234,7132,3640,__export__.res_partner_2478,0,0,0
230,,2005-2006,__export__.account_fiscalyear_239,2007-03-20,2006-2007,__export__.account_fiscalyear_240,7164,3637,__export__.res_partner_7855,0,0,0
231,1988-2000,1988-2000,,2001-03-31,2000-2001,__export__.account_fiscalyear_234,7132,3640,__export__.res_partner_2478,0,0,0
232,,2004-2005,__export__.account_fiscalyear_238,2005-07-28,2005-2006,__export__.account_fiscalyear_239,7132,3640,__export__.res_partner_2478,0,0,0
233,,2007-2008,__export__.account_fiscalyear_241,2009-08-10,2009-2010,__export__.account_fiscalyear_243,7164,3637,__export__.res_partner_7855,0,0,0
234,,2008-2009,__export__.account_fiscalyear_242,2009-08-10,2009-2010,__export__.account_fiscalyear_243,7164,3637,__export__.res_partner_7855,0,0,0
235,,2009-2010,__export__.account_fiscalyear_243,2010-07-27,2010-2011,__export__.account_fiscalyear_244,7164,3637,__export__.res_partner_7855,0,0,0
236,,2010-2011,__export__.account_fiscalyear_244,2011-01-13,2010-2011,__export__.account_fiscalyear_244,7164,3637,__export__.res_partner_7855,0,0,0
237,,2007-2008,__export__.account_fiscalyear_241,2009-03-24,2008-2009,__export__.account_fiscalyear_242,7155,4005,__export__.res_partner_7735,0,0,0
238,,2011-2012,__export__.account_fiscalyear_245,2012-11-05,2012-2013,__export__.account_fiscalyear_246,7164,3637,__export__.res_partner_7855,0,0,0
239,,2012-2013,__export__.account_fiscalyear_246,2013-10-30,2013-2014,__export__.account_fiscalyear_247,7884,1102492,,0,0,0
240,,2012-2013,__export__.account_fiscalyear_246,2013-08-16,2013-2014,__export__.account_fiscalyear_247,7251,3631,__export__.res_partner_910,0,0,0
243,,2011-2012,__export__.account_fiscalyear_245,2012-08-27,2012-2013,__export__.account_fiscalyear_246,6671,3627,__export__.res_partner_5184,0,0,0
244,,2008-2009,__export__.account_fiscalyear_242,2010-01-12,2009-2010,__export__.account_fiscalyear_243,7155,4005,__export__.res_partner_7735,0,0,0
245,,2012-2013,__export__.account_fiscalyear_246,2013-10-30,2013-2014,__export__.account_fiscalyear_247,6671,3627,__export__.res_partner_5184,0,0,0
246,,2004-2005,__export__.account_fiscalyear_238,2005-08-09,2005-2006,__export__.account_fiscalyear_239,7264,3632,__export__.res_partner_5117,0,0,0
247,,2005-2006,__export__.account_fiscalyear_239,2007-01-31,2006-2007,__export__.account_fiscalyear_240,7264,3632,__export__.res_partner_5117,0,0,0
248,,2006-2007,__export__.account_fiscalyear_240,2007-10-31,2007-2008,__export__.account_fiscalyear_241,7264,3632,__export__.res_partner_5117,0,0,0
249,,2012-2013,__export__.account_fiscalyear_246,2013-08-30,2013-2014,__export__.account_fiscalyear_247,7264,3632,__export__.res_partner_5117,0,0,0
250,,2006-2007,__export__.account_fiscalyear_240,2007-11-13,2007-2008,__export__.account_fiscalyear_241,1346,6119,__export__.res_partner_782,0,0,0
251,,2008-2009,__export__.account_fiscalyear_242,2009-11-21,2009-2010,__export__.account_fiscalyear_243,1346,6119,__export__.res_partner_782,0,0,0
252,,2009-2010,__export__.account_fiscalyear_243,2010-08-27,2010-2011,__export__.account_fiscalyear_244,1346,6119,__export__.res_partner_782,0,0,0
253,,2010-2011,__export__.account_fiscalyear_244,2011-10-13,2011-2012,__export__.account_fiscalyear_245,1346,6119,__export__.res_partner_782,0,0,0
254,,2011-2012,__export__.account_fiscalyear_245,2012-12-15,2012-2013,__export__.account_fiscalyear_246,1346,6119,__export__.res_partner_782,0,0,0
256,1995-1999,1995-1999,,2000-08-19,2000-2001,__export__.account_fiscalyear_234,1186,6132,__export__.res_partner_154,0,0,0
257,1995-1998,1995-1998,,2001-03-31,2000-2001,__export__.account_fiscalyear_234,1330,6115,__export__.res_partner_1378,0,0,0
258,,2012-2013,__export__.account_fiscalyear_246,2013-07-19,2013-2014,__export__.account_fiscalyear_247,7123,3604,__export__.res_partner_8429,0,0,0
259,,2012-2013,__export__.account_fiscalyear_246,2013-08-19,2013-2014,__export__.account_fiscalyear_247,6113,3905,__export__.res_partner_4637,0,0,0
260,,2010-2011,__export__.account_fiscalyear_244,2012-02-08,2011-2012,__export__.account_fiscalyear_245,6607,3610,__export__.res_partner_1341,0,0,0
261,,2011-2012,__export__.account_fiscalyear_245,2012-11-15,2012-2013,__export__.account_fiscalyear_246,6607,3610,__export__.res_partner_1341,0,0,0
263,,1998-1999,__export__.account_fiscalyear_232,2001-03-01,2000-2001,__export__.account_fiscalyear_234,3154,3878,__export__.res_partner_3532,0,0,0
264,,2012-2013,__export__.account_fiscalyear_246,2013-10-23,2013-2014,__export__.account_fiscalyear_247,7701,7722,__export__.res_partner_6664,0,0,0
265,,2012-2013,__export__.account_fiscalyear_246,2013-07-11,2013-2014,__export__.account_fiscalyear_247,7246,3608,__export__.res_partner_6393,0,0,0
266,,2012-2013,__export__.account_fiscalyear_246,2013-08-26,2013-2014,__export__.account_fiscalyear_247,7174,3619,__export__.res_partner_2881,0,0,0
267,,2011-2012,__export__.account_fiscalyear_245,2012-12-04,2012-2013,__export__.account_fiscalyear_246,2417,4675,__export__.res_partner_1256,0,0,0
268,,2012-2013,__export__.account_fiscalyear_246,2013-08-20,2013-2014,__export__.account_fiscalyear_247,2417,4675,__export__.res_partner_1256,0,0,0
269,,2009-2010,__export__.account_fiscalyear_243,2010-01-22,2010-2011,__export__.account_fiscalyear_244,2945,3839,__export__.res_partner_630,0,0,0
270,,2009-2010,__export__.account_fiscalyear_243,2011-12-30,2010-2011,__export__.account_fiscalyear_244,2945,3839,__export__.res_partner_630,0,0,0
271,,2011-2012,__export__.account_fiscalyear_245,2012-09-12,2012-2013,__export__.account_fiscalyear_246,2945,3839,__export__.res_partner_630,0,0,0
272,,2012-2013,__export__.account_fiscalyear_246,2013-08-14,2013-2014,__export__.account_fiscalyear_247,2945,3839,__export__.res_partner_630,0,0,0
273,,2002-2003,__export__.account_fiscalyear_236,2004-10-25,2004-2005,__export__.account_fiscalyear_238,275,7198,__export__.res_partner_52,0,0,0
274,,2012-2013,__export__.account_fiscalyear_246,2013-09-28,2013-2014,__export__.account_fiscalyear_247,275,7198,__export__.res_partner_52,0,0,0
275,,2012-2013,__export__.account_fiscalyear_246,2013-10-30,2013-2014,__export__.account_fiscalyear_247,2837,4154,__export__.res_partner_7938,0,0,0
276,,2007-2008,__export__.account_fiscalyear_241,2008-10-28,2008-2009,__export__.account_fiscalyear_242,3184,3900,__export__.res_partner_5677,0,0,0
277,,2008-2009,__export__.account_fiscalyear_242,2009-05-14,2009-2010,__export__.account_fiscalyear_243,3184,3900,__export__.res_partner_5677,0,0,0
278,,2009-2010,__export__.account_fiscalyear_243,2010-08-27,2010-2011,__export__.account_fiscalyear_244,3184,3900,__export__.res_partner_5677,0,0,0
279,,2010-2011,__export__.account_fiscalyear_244,2011-09-16,2011-2012,__export__.account_fiscalyear_245,3184,3900,__export__.res_partner_5677,0,0,0
